Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    24,000;        0,00;       214,27;       374,26;       374,26;       159,99
Classif:      ;sem categoria       ;     0,00;    24,000;        0,00;       214,27;       374,26;       374,26;       159,99
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;    11,000;        0,00;         0,00;       235,80;       235,80;       235,80
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;   130,000;        0,00;        58,47;     2.171,67;     2.171,67;     2.113,20
10.019.017;BIJUTERIAS/CARNAVAL           ;     0,00;     1,000;        0,00;         1,71;         2,99;         2,99;         1,28
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    57,000;        0,00;        30,78;       348,45;       348,45;       317,67
Classif:10.019;BIJUTERIAS          ;     0,00;   199,000;        0,00;        90,96;     2.758,91;     2.758,91;     2.667,95
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;   106,000;        0,00;     2.241,38;     4.119,34;     4.119,34;     1.877,96
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     1,000;        0,00;        36,26;        68,99;        68,99;        32,73
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     2,000;        0,00;         9,07;        32,98;        32,98;        23,91
Classif:10.020;BRINQUEDOS          ;     0,00;   109,000;        0,00;     2.286,71;     4.221,31;     4.221,31;     1.934,60
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   181,800;        0,00;     2.862,21;     5.382,34;     5.382,34;     2.520,13
Classif:10.022;CAMA MESA BANHO     ;     0,00;   181,800;        0,00;     2.862,21;     5.382,34;     5.382,34;     2.520,13
10.023.   ;CONVENIENCIA                  ;     0,00;     1,000;        0,00;        10,00;        15,99;        15,99;         5,99
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    10,000;        0,00;        39,96;        61,90;        61,90;        21,94
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    30,000;        0,00;        46,56;        86,20;        86,20;        39,64
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   331,000;        0,00;     1.207,97;       755,93;       755,93;      -452,04
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    51,000;        0,00;       188,06;       447,49;       447,49;       259,43
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    45,000;        0,00;         6,88;       157,64;       157,64;       150,76
Classif:10.023;CONVENIENCIA        ;     0,00;   468,000;        0,00;     1.499,43;     1.525,15;     1.525,15;        25,72
10.024.   ;DECORACAO                     ;     0,00;     1,000;        0,00;        12,38;        23,99;        23,99;        11,61
10.024.032;DECORACAO/BAZAR               ;     0,00;     4,000;        0,00;       164,89;       549,96;       549,96;       385,07
10.024.033;DECORACAO/DECORACAO           ;     0,00;    34,000;        0,00;       717,19;     1.264,02;     1.264,02;       546,83
10.024.034;DECORACAO/ESPELHO             ;     0,00;     7,000;        0,00;       522,49;       961,81;       961,81;       439,32
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     9,000;        0,00;        75,14;       140,91;       140,91;        65,77
10.024.037;DECORACAO/QUADROS             ;     0,00;    20,000;        0,00;       424,82;       784,30;       784,30;       359,48
10.024.038;DECORACAO/TOALHA P/ METRO     ;     0,00;     5,500;        0,00;         2,16;       121,44;       121,44;       119,28
Classif:10.024;DECORACAO           ;     0,00;    80,500;        0,00;     1.919,07;     3.846,43;     3.846,43;     1.927,36
10.026.042;DIVERSOS/FRETE                ;     0,00;     3,000;        0,00;         1,62;         0,59;         0,59;        -1,03
Classif:10.026;DIVERSOS            ;     0,00;     3,000;        0,00;         1,62;         0,59;         0,59;        -1,03
10.033.   ;LEDS                          ;     0,00;     3,000;        0,00;        10,39;        23,97;        23,97;        13,58
10.033.050;LEDS/FERRAMENTA               ;     0,00;    24,000;        0,00;       150,52;       300,26;       300,26;       149,74
10.033.051;LEDS/ILUMINACAO               ;     0,00;    21,000;        0,00;       156,50;       358,79;       358,79;       202,29
10.033.052;LEDS/LED                      ;     0,00;    35,000;        0,00;       330,32;       754,65;       754,65;       424,33
Classif:10.033;LEDS                ;     0,00;    83,000;        0,00;       647,73;     1.437,67;     1.437,67;       789,94
10.040.   ;PAPELARIA                     ;     0,00;     6,000;        0,00;        14,80;        28,44;        28,44;        13,64
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     7,000;        0,00;        33,80;        62,36;        62,36;        28,56
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   881,500;        0,00;     2.571,43;     5.251,35;     5.251,35;     2.679,92
Classif:10.040;PAPELARIA           ;     0,00;   894,500;        0,00;     2.620,03;     5.342,15;     5.342,15;     2.722,12
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    85,000;        0,00;     1.183,97;     2.256,95;     2.256,95;     1.072,98
