Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;     7,000;        0,00;        45,54;        87,63;        87,63;        42,09
Classif:      ;sem categoria       ;     0,00;     7,000;        0,00;        45,54;        87,63;        87,63;        42,09
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     2,000;        0,00;         0,00;        49,98;        49,98;        49,98
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    64,000;        0,00;        45,73;     1.068,15;     1.068,15;     1.022,42
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    16,000;        0,00;        16,20;       148,44;       148,44;       132,24
10.019.021;BIJUTERIAS/PERFUMARIA         ;     0,00;     1,000;        0,00;         2,50;         3,99;         3,99;         1,49
Classif:10.019;BIJUTERIAS          ;     0,00;    83,000;        0,00;        64,43;     1.270,56;     1.270,56;     1.206,13
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    49,000;        0,00;       592,47;     1.028,92;     1.028,92;       436,45
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     1,000;        0,00;         9,02;        15,99;        15,99;         6,97
Classif:10.020;BRINQUEDOS          ;     0,00;    50,000;        0,00;       601,49;     1.044,91;     1.044,91;       443,42
10.022.   ;CAMA MESA BANHO               ;     0,00;     1,000;        0,00;        10,49;        17,99;        17,99;         7,50
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   101,000;        0,00;     1.031,11;     1.987,36;     1.987,36;       956,25
Classif:10.022;CAMA MESA BANHO     ;     0,00;   102,000;        0,00;     1.041,60;     2.005,35;     2.005,35;       963,75
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;     9,000;        0,00;        16,75;        31,41;        31,41;        14,66
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    31,000;        0,00;        55,05;        93,77;        93,77;        38,72
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;    88,000;        0,00;     1.107,37;       226,11;       226,11;      -881,26
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    11,000;        0,00;        62,62;       143,89;       143,89;        81,27
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    26,000;        0,00;         1,55;       150,28;       150,28;       148,73
Classif:10.023;CONVENIENCIA        ;     0,00;   165,000;        0,00;     1.243,34;       645,46;       645,46;      -597,88
10.024.   ;DECORACAO                     ;     0,00;     1,000;        0,00;        12,38;        19,99;        19,99;         7,61
10.024.032;DECORACAO/BAZAR               ;     0,00;     3,000;        0,00;        63,00;       107,97;       107,97;        44,97
10.024.033;DECORACAO/DECORACAO           ;     0,00;    17,000;        0,00;       168,63;       291,33;       291,33;       122,70
10.024.034;DECORACAO/ESPELHO             ;     0,00;     5,000;        0,00;        78,90;       140,95;       140,95;        62,05
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;    13,000;        0,00;       109,49;       216,37;       216,37;       106,88
10.024.037;DECORACAO/QUADROS             ;     0,00;    10,000;        0,00;       248,86;       416,90;       416,90;       168,04
Classif:10.024;DECORACAO           ;     0,00;    49,000;        0,00;       681,26;     1.193,51;     1.193,51;       512,25
10.033.050;LEDS/FERRAMENTA               ;     0,00;    11,000;        0,00;        99,83;       174,39;       174,39;        74,56
10.033.051;LEDS/ILUMINACAO               ;     0,00;     5,000;        0,00;       101,80;       235,95;       235,95;       134,15
10.033.052;LEDS/LED                      ;     0,00;    10,000;        0,00;       107,30;       233,90;       233,90;       126,60
10.033.053;LEDS/LUSTRES                  ;     0,00;     1,000;        0,00;         3,44;         6,99;         6,99;         3,55
Classif:10.033;LEDS                ;     0,00;    27,000;        0,00;       312,37;       651,23;       651,23;       338,86
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     1,000;        0,00;         8,99;        16,99;        16,99;         8,00
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   132,000;        0,00;       243,46;       724,43;       724,43;       480,97
Classif:10.040;PAPELARIA           ;     0,00;   133,000;        0,00;       252,45;       741,42;       741,42;       488,97
10.049.061;UTENSILIOS/ARAMADOS           ;     0,00;     3,000;        0,00;        17,44;        29,97;        29,97;        12,53
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    34,000;        0,00;       788,84;     1.482,16;     1.482,16;       693,32
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;    80,000;        0,00;       539,50;       959,05;       959,05;       419,55
Classif:10.049;UTENSILIOS          ;     0,00;   117,000;        0,00;     1.345,78;     2.471,18;     2.471,18;     1.125,40
10.050.   ;UTILIDADES                    ;     0,00;     3,000;        0,00;        44,98;        76,97;        76,97;        31,99
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;    15,000;        0,00;       151,62;       267,65;       267,65;       116,03
10.050.065;UTILIDADES/ELETRO DOMESTICO   ;     0,00;     1,000;        0,00;        49,90;        93,99;        93,99;        44,09
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;    12,000;        0,00;       106,11;       237,38;       237,38;       131,27
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   140,000;        0,00;     1.072,11;     1.962,25;     1.962,25;       890,14
Classif:10.050;UTILIDADES          ;     0,00;   171,000;        0,00;     1.424,72;     2.638,24;     2.638,24;     1.213,52
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;    12,000;        0,00;       164,68;       290,88;       290,88;       126,20
10.051.070;VARIEDADES/VIDROS             ;     0,00;   132,000;        0,00;     1.138,01;     1.783,18;     1.783,18;       645,17
Classif:10.051;VARIEDADES          ;     0,00;   144,000;        0,00;     1.302,69;     2.074,06;     2.074,06;       771,37
