Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;     1,000;        0,00;         3,00;         4,99;         4,99;         1,99
Classif:      ;sem categoria       ;     0,00;     1,000;        0,00;         3,00;         4,99;         4,99;         1,99
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     8,000;        0,00;        32,14;       250,92;       250,92;       218,78
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    89,000;        0,00;       135,60;     1.496,65;     1.496,65;     1.361,05
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    25,000;        0,00;        33,60;       294,75;       294,75;       261,15
Classif:10.019;BIJUTERIAS          ;     0,00;   122,000;        0,00;       201,34;     2.042,32;     2.042,32;     1.840,98
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    40,000;        0,00;       675,15;     1.352,10;     1.352,10;       676,95
Classif:10.020;BRINQUEDOS          ;     0,00;    40,000;        0,00;       675,15;     1.352,10;     1.352,10;       676,95
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   109,000;        0,00;     1.069,21;     2.067,72;     2.067,72;       998,51
Classif:10.022;CAMA MESA BANHO     ;     0,00;   109,000;        0,00;     1.069,21;     2.067,72;     2.067,72;       998,51
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    23,000;        0,00;        35,60;        69,27;        69,27;        33,67
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    37,000;        0,00;        63,47;       113,52;       113,52;        50,05
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   113,000;        0,00;       552,48;       274,64;       274,64;      -277,84
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    20,000;        0,00;        77,80;       181,69;       181,69;       103,89
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    51,000;        0,00;         1,95;       276,55;       276,55;       274,60
Classif:10.023;CONVENIENCIA        ;     0,00;   244,000;        0,00;       731,30;       915,67;       915,67;       184,37
10.024.032;DECORACAO/BAZAR               ;     0,00;     4,000;        0,00;        92,00;       194,96;       194,96;       102,96
10.024.033;DECORACAO/DECORACAO           ;     0,00;    22,000;        0,00;       445,89;       673,93;       673,93;       228,04
10.024.034;DECORACAO/ESPELHO             ;     0,00;     7,000;        0,00;       540,40;     1.601,93;     1.601,93;     1.061,53
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;    21,000;        0,00;       144,82;       250,79;       250,79;       105,97
10.024.037;DECORACAO/QUADROS             ;     0,00;    19,000;        0,00;       633,93;     1.115,01;     1.115,01;       481,08
Classif:10.024;DECORACAO           ;     0,00;    73,000;        0,00;     1.857,04;     3.836,62;     3.836,62;     1.979,58
10.033.050;LEDS/FERRAMENTA               ;     0,00;     7,000;        0,00;        36,70;        71,03;        71,03;        34,33
10.033.051;LEDS/ILUMINACAO               ;     0,00;     3,000;        0,00;        28,29;        59,97;        59,97;        31,68
10.033.052;LEDS/LED                      ;     0,00;    10,000;        0,00;       159,53;       300,64;       300,64;       141,11
Classif:10.033;LEDS                ;     0,00;    20,000;        0,00;       224,52;       431,64;       431,64;       207,12
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   188,000;        0,00;       628,66;     1.230,26;     1.230,26;       601,60
Classif:10.040;PAPELARIA           ;     0,00;   188,000;        0,00;       628,66;     1.230,26;     1.230,26;       601,60
10.049.061;UTENSILIOS/ARAMADOS           ;     0,00;     2,000;        0,00;        27,82;        39,98;        39,98;        12,16
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    28,000;        0,00;       509,01;       831,22;       831,22;       322,21
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;   124,000;        0,00;       589,58;     1.140,66;     1.140,66;       551,08
Classif:10.049;UTENSILIOS          ;     0,00;   154,000;        0,00;     1.126,41;     2.011,86;     2.011,86;       885,45
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;    13,000;        0,00;       114,97;       210,92;       210,92;        95,95
10.050.065;UTILIDADES/ELETRO DOMESTICO   ;     0,00;     1,000;        0,00;         5,06;         9,49;         9,49;         4,43
10.050.066;UTILIDADES/FILTROS            ;     0,00;     1,000;        0,00;         7,50;        13,99;        13,99;         6,49
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;    11,000;        0,00;       166,74;       272,89;       272,89;       106,15
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   138,000;        0,00;     1.002,31;     1.884,74;     1.884,74;       882,43
Classif:10.050;UTILIDADES          ;     0,00;   164,000;        0,00;     1.296,58;     2.392,03;     2.392,03;     1.095,45
10.051.   ;VARIEDADES                    ;     0,00;     4,000;        0,00;        62,51;       132,96;       132,96;        70,45
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;     7,000;        0,00;        79,06;       138,93;       138,93;        59,87
10.051.070;VARIEDADES/VIDROS             ;     0,00;   104,000;        0,00;     1.050,95;     1.844,26;     1.844,26;       793,31
Classif:10.051;VARIEDADES          ;     0,00;   115,000;        0,00;     1.192,52;     2.116,15;     2.116,15;       923,63
