Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    14,000;        0,00;        58,51;       152,36;       152,36;        93,85
Classif:      ;sem categoria       ;     0,00;    14,000;        0,00;        58,51;       152,36;       152,36;        93,85
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     8,000;        0,00;        18,61;        65,92;        65,92;        47,31
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    47,000;        0,00;        49,92;       733,74;       733,74;       683,82
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    43,000;        0,00;        52,61;       516,07;       516,07;       463,46
10.019.021;BIJUTERIAS/PERFUMARIA         ;     0,00;     3,000;        0,00;         5,32;        11,97;        11,97;         6,65
Classif:10.019;BIJUTERIAS          ;     0,00;   101,000;        0,00;       126,46;     1.327,70;     1.327,70;     1.201,24
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    83,000;        0,00;     1.341,98;     2.501,54;     2.501,54;     1.159,56
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     2,000;        0,00;        22,03;        40,98;        40,98;        18,95
Classif:10.020;BRINQUEDOS          ;     0,00;    85,000;        0,00;     1.364,01;     2.542,52;     2.542,52;     1.178,51
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   133,500;        0,00;     1.463,00;     3.040,69;     3.040,69;     1.577,69
Classif:10.022;CAMA MESA BANHO     ;     0,00;   133,500;        0,00;     1.463,00;     3.040,69;     3.040,69;     1.577,69
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    10,000;        0,00;         9,92;        22,90;        22,90;        12,98
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    30,000;        0,00;        86,68;        84,64;        84,64;        -2,04
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   137,000;        0,00;       791,53;       389,26;       389,26;      -402,27
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    25,000;        0,00;       102,69;       337,75;       337,75;       235,06
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    39,000;        0,00;        11,15;       188,36;       188,36;       177,21
Classif:10.023;CONVENIENCIA        ;     0,00;   241,000;        0,00;     1.001,97;     1.022,91;     1.022,91;        20,94
10.024.   ;DECORACAO                     ;     0,00;     1,000;        0,00;         7,56;        13,23;        13,23;         5,67
10.024.032;DECORACAO/BAZAR               ;     0,00;     4,000;        0,00;       122,68;       282,96;       282,96;       160,28
10.024.033;DECORACAO/DECORACAO           ;     0,00;    18,000;        0,00;       225,44;       445,60;       445,60;       220,16
10.024.034;DECORACAO/ESPELHO             ;     0,00;     5,000;        0,00;       254,90;       455,95;       455,95;       201,05
10.024.035;DECORACAO/MOVEIS              ;     0,00;     1,000;        0,00;        49,00;        88,99;        88,99;        39,99
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;    16,000;        0,00;        91,89;       180,34;       180,34;        88,45
10.024.037;DECORACAO/QUADROS             ;     0,00;     6,000;        0,00;        18,47;        47,94;        47,94;        29,47
Classif:10.024;DECORACAO           ;     0,00;    51,000;        0,00;       769,94;     1.515,01;     1.515,01;       745,07
10.026.040;DIVERSOS/DIVERSOS             ;     0,00;     3,000;        0,00;         5,70;        63,97;        63,97;        58,27
Classif:10.026;DIVERSOS            ;     0,00;     3,000;        0,00;         5,70;        63,97;        63,97;        58,27
10.030.047;ESTACIONAMENTO/ESTACIONAMENTO ;     0,00;     1,000;        0,00;         1,00;        13,00;        13,00;        12,00
Classif:10.030;ESTACIONAMENTO      ;     0,00;     1,000;        0,00;         1,00;        13,00;        13,00;        12,00
10.033.   ;LEDS                          ;     0,00;     1,000;        0,00;         3,52;         7,19;         7,19;         3,67
10.033.050;LEDS/FERRAMENTA               ;     0,00;    28,000;        0,00;       199,69;       499,52;       499,52;       299,83
10.033.051;LEDS/ILUMINACAO               ;     0,00;     4,000;        0,00;        42,16;        77,96;        77,96;        35,80
10.033.052;LEDS/LED                      ;     0,00;    22,000;        0,00;       206,49;       425,28;       425,28;       218,79
Classif:10.033;LEDS                ;     0,00;    55,000;        0,00;       451,86;     1.009,95;     1.009,95;       558,09
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;    56,000;        0,00;        20,11;        57,47;        57,47;        37,36
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   344,000;        0,00;     1.276,65;     2.483,19;     2.483,19;     1.206,54
Classif:10.040;PAPELARIA           ;     0,00;   400,000;        0,00;     1.296,76;     2.540,66;     2.540,66;     1.243,90
10.044.060;QUIOSQUE/SORVETE              ;     0,00;   118,000;        0,00;         0,00;       686,63;       686,63;       686,63
Classif:10.044;QUIOSQUE            ;     0,00;   118,000;        0,00;         0,00;       686,63;       686,63;       686,63
10.049.   ;UTENSILIOS                    ;     0,00;     2,000;        0,00;       225,70;       229,98;       229,98;         4,28
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    50,000;        0,00;       802,38;     1.393,60;     1.393,60;       591,22
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;   103,000;        0,00;       768,57;     1.506,97;     1.506,97;       738,40
Classif:10.049;UTENSILIOS          ;     0,00;   155,000;        0,00;     1.796,65;     3.130,55;     3.130,55;     1.333,90
10.050.   ;UTILIDADES                    ;     0,00;     2,000;        0,00;        16,20;        29,98;        29,98;        13,78
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;    27,000;        0,00;       176,78;       349,23;       349,23;       172,45
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;     7,000;        0,00;        65,93;       158,93;       158,93;        93,00
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   208,000;        0,00;     1.573,04;     2.917,42;     2.917,42;     1.344,38
Classif:10.050;UTILIDADES          ;     0,00;   244,000;        0,00;     1.831,95;     3.455,56;     3.455,56;     1.623,61
10.051.   ;VARIEDADES                    ;     0,00;    14,000;        0,00;        93,18;       195,86;       195,86;       102,68
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;    29,000;        0,00;       287,12;       523,99;       523,99;       236,87
10.051.070;VARIEDADES/VIDROS             ;     0,00;   148,000;        0,00;     1.281,37;     2.123,79;     2.123,79;       842,42
Classif:10.051;VARIEDADES          ;     0,00;   191,000;        0,00;     1.661,67;     2.843,64;     2.843,64;     1.181,97
10.053.001;PET/PET                       ;     0,00;     1,000;        0,00;         4,15;         7,99;         7,99;         3,84
Classif:10.053;PET                 ;     0,00;     1,000;        0,00;         4,15;         7,99;         7,99;         3,84
10.054.001;PERFUMARIA/PERFUMARIA         ;     0,00;     1,000;        0,00;         1,46;         2,99;         2,99;         1,53
Classif:10.054;PERFUMARIA          ;     0,00;     1,000;        0,00;         1,46;         2,99;         2,99;         1,53
