Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;     6,000;        0,00;        31,59;        77,94;        77,94;        46,35
Classif:      ;sem categoria       ;     0,00;     6,000;        0,00;        31,59;        77,94;        77,94;        46,35
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;    11,000;        0,00;         0,00;       221,89;       221,89;       221,89
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    61,000;        0,00;        33,46;       806,89;       806,89;       773,43
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    45,000;        0,00;        24,30;       384,55;       384,55;       360,25
Classif:10.019;BIJUTERIAS          ;     0,00;   117,000;        0,00;        57,76;     1.413,33;     1.413,33;     1.355,57
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;   124,000;        0,00;     1.288,62;     2.459,76;     2.459,76;     1.171,14
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     2,000;        0,00;        31,13;        58,48;        58,48;        27,35
Classif:10.020;BRINQUEDOS          ;     0,00;   126,000;        0,00;     1.319,75;     2.518,24;     2.518,24;     1.198,49
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;    80,500;        0,00;       957,11;     1.957,04;     1.957,04;       999,93
Classif:10.022;CAMA MESA BANHO     ;     0,00;    80,500;        0,00;       957,11;     1.957,04;     1.957,04;       999,93
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    21,000;        0,00;        54,01;        89,99;        89,99;        35,98
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    29,000;        0,00;       150,29;        86,51;        86,51;       -63,78
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   136,000;        0,00;       360,31;       345,37;       345,37;       -14,94
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    42,000;        0,00;       106,19;       362,10;       362,10;       255,91
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    26,000;        0,00;         2,46;       120,25;       120,25;       117,79
Classif:10.023;CONVENIENCIA        ;     0,00;   254,000;        0,00;       673,26;     1.004,22;     1.004,22;       330,96
10.024.032;DECORACAO/BAZAR               ;     0,00;     1,000;        0,00;        20,00;        69,99;        69,99;        49,99
10.024.033;DECORACAO/DECORACAO           ;     0,00;    25,000;        0,00;       498,52;       878,75;       878,75;       380,23
10.024.034;DECORACAO/ESPELHO             ;     0,00;     8,000;        0,00;       365,84;       570,92;       570,92;       205,08
10.024.035;DECORACAO/MOVEIS              ;     0,00;     4,000;        0,00;       698,17;     1.180,96;     1.180,96;       482,79
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     3,000;        0,00;        44,59;        90,97;        90,97;        46,38
10.024.037;DECORACAO/QUADROS             ;     0,00;     5,000;        0,00;        99,14;       184,95;       184,95;        85,81
10.024.038;DECORACAO/TOALHA P/ METRO     ;     0,00;     1,000;        0,00;         0,54;        14,99;        14,99;        14,45
Classif:10.024;DECORACAO           ;     0,00;    47,000;        0,00;     1.726,80;     2.991,53;     2.991,53;     1.264,73
10.026.040;DIVERSOS/DIVERSOS             ;     0,00;     5,000;        0,00;        24,25;        50,45;        50,45;        26,20
Classif:10.026;DIVERSOS            ;     0,00;     5,000;        0,00;        24,25;        50,45;        50,45;        26,20
10.033.050;LEDS/FERRAMENTA               ;     0,00;    25,000;        0,00;       291,32;       517,75;       517,75;       226,43
10.033.051;LEDS/ILUMINACAO               ;     0,00;    14,000;        0,00;        67,48;       148,86;       148,86;        81,38
10.033.052;LEDS/LED                      ;     0,00;    32,000;        0,00;       316,52;       627,18;       627,18;       310,66
Classif:10.033;LEDS                ;     0,00;    71,000;        0,00;       675,32;     1.293,79;     1.293,79;       618,47
10.040.   ;PAPELARIA                     ;     0,00;     1,000;        0,00;         1,38;         2,49;         2,49;         1,11
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     1,000;        0,00;         1,94;         3,49;         3,49;         1,55
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   435,500;        0,00;     1.229,18;     2.791,75;     2.791,75;     1.562,57
Classif:10.040;PAPELARIA           ;     0,00;   437,500;        0,00;     1.232,50;     2.797,73;     2.797,73;     1.565,23
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    22,000;        0,00;       294,43;       742,78;       742,78;       448,35
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;    81,000;        0,00;       673,66;     1.348,70;     1.348,70;       675,04
Classif:10.049;UTENSILIOS          ;     0,00;   103,000;        0,00;       968,09;     2.091,48;     2.091,48;     1.123,39
10.050.   ;UTILIDADES                    ;     0,00;     3,000;        0,00;        40,32;        85,97;        85,97;        45,65
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;    22,000;        0,00;       215,74;       408,78;       408,78;       193,04
10.050.065;UTILIDADES/ELETRO DOMESTICO   ;     0,00;     1,000;        0,00;         5,06;         9,49;         9,49;         4,43
10.050.066;UTILIDADES/FILTROS            ;     0,00;     1,000;        0,00;         1,88;         6,49;         6,49;         4,61
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;     6,000;        0,00;       130,42;       291,94;       291,94;       161,52
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   187,000;        0,00;     1.260,52;     2.514,63;     2.514,63;     1.254,11
Classif:10.050;UTILIDADES          ;     0,00;   220,000;        0,00;     1.653,94;     3.317,30;     3.317,30;     1.663,36
10.051.   ;VARIEDADES                    ;     0,00;    13,000;        0,00;        28,71;        59,87;        59,87;        31,16
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;     7,000;        0,00;        77,46;       123,93;       123,93;        46,47
10.051.070;VARIEDADES/VIDROS             ;     0,00;    58,000;        0,00;       361,23;       739,45;       739,45;       378,22
Classif:10.051;VARIEDADES          ;     0,00;    78,000;        0,00;       467,40;       923,25;       923,25;       455,85
10.053.001;PET/PET                       ;     0,00;    16,000;        0,00;        99,15;       184,84;       184,84;        85,69
Classif:10.053;PET                 ;     0,00;    16,000;        0,00;        99,15;       184,84;       184,84;        85,69
