Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;     8,000;        0,00;        39,05;        71,92;        71,92;        32,87
Classif:      ;sem categoria       ;     0,00;     8,000;        0,00;        39,05;        71,92;        71,92;        32,87
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;    11,000;        0,00;         0,00;       326,91;       326,91;       326,91
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;   201,000;        0,00;        77,85;     2.210,78;     2.210,78;     2.132,93
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    88,000;        0,00;        47,52;       885,11;       885,11;       837,59
10.019.022;BIJUTERIA/ACESSORIOS VERAO    ;     0,00;     1,000;        0,00;         0,00;        89,99;        89,99;        89,99
Classif:10.019;BIJUTERIAS          ;     0,00;   301,000;        0,00;       125,37;     3.512,79;     3.512,79;     3.387,42
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    41,000;        0,00;       826,59;     1.536,59;     1.536,59;       710,00
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     1,000;        0,00;         5,55;         9,99;         9,99;         4,44
Classif:10.020;BRINQUEDOS          ;     0,00;    42,000;        0,00;       832,14;     1.546,58;     1.546,58;       714,44
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;    75,000;        0,00;       843,20;     1.767,25;     1.767,25;       924,05
Classif:10.022;CAMA MESA BANHO     ;     0,00;    75,000;        0,00;       843,20;     1.767,25;     1.767,25;       924,05
10.023.   ;CONVENIENCIA                  ;     0,00;     4,000;        0,00;        41,50;        63,96;        63,96;        22,46
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    13,000;        0,00;        35,31;        60,47;        60,47;        25,16
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    37,000;        0,00;        68,94;       120,08;       120,08;        51,14
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   174,000;        0,00;       263,23;       284,42;       284,42;        21,19
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    27,000;        0,00;        27,00;       534,39;       534,39;       507,39
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    19,000;        0,00;         6,80;        78,81;        78,81;        72,01
Classif:10.023;CONVENIENCIA        ;     0,00;   274,000;        0,00;       442,78;     1.142,13;     1.142,13;       699,35
10.024.032;DECORACAO/BAZAR               ;     0,00;     2,000;        0,00;       119,50;       225,99;       225,99;       106,49
10.024.033;DECORACAO/DECORACAO           ;     0,00;     5,000;        0,00;        75,94;       285,95;       285,95;       210,01
10.024.034;DECORACAO/ESPELHO             ;     0,00;     2,000;        0,00;       143,47;       219,98;       219,98;        76,51
10.024.035;DECORACAO/MOVEIS              ;     0,00;     1,000;        0,00;        21,21;        38,99;        38,99;        17,78
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     5,000;        0,00;        23,35;        46,95;        46,95;        23,60
10.024.038;DECORACAO/TOALHA P/ METRO     ;     0,00;     1,000;        0,00;         0,54;        14,99;        14,99;        14,45
Classif:10.024;DECORACAO           ;     0,00;    16,000;        0,00;       384,01;       832,85;       832,85;       448,84
10.026.040;DIVERSOS/DIVERSOS             ;     0,00;     1,000;        0,00;        14,71;        15,00;        15,00;         0,29
Classif:10.026;DIVERSOS            ;     0,00;     1,000;        0,00;        14,71;        15,00;        15,00;         0,29
10.030.047;ESTACIONAMENTO/ESTACIONAMENTO ;     0,00;     3,000;        0,00;         3,00;        16,00;        16,00;        13,00
Classif:10.030;ESTACIONAMENTO      ;     0,00;     3,000;        0,00;         3,00;        16,00;        16,00;        13,00
10.033.050;LEDS/FERRAMENTA               ;     0,00;    12,000;        0,00;        38,33;        77,88;        77,88;        39,55
10.033.051;LEDS/ILUMINACAO               ;     0,00;     7,000;        0,00;        48,92;       104,93;       104,93;        56,01
10.033.052;LEDS/LED                      ;     0,00;    12,000;        0,00;       135,02;       247,88;       247,88;       112,86
Classif:10.033;LEDS                ;     0,00;    31,000;        0,00;       222,27;       430,69;       430,69;       208,42
10.040.   ;PAPELARIA                     ;     0,00;     1,000;        0,00;         2,22;         4,49;         4,49;         2,27
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     2,000;        0,00;         0,00;         1,20;         1,20;         1,20
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   173,000;        0,00;       662,55;     1.979,55;     1.979,55;     1.317,00
Classif:10.040;PAPELARIA           ;     0,00;   176,000;        0,00;       664,77;     1.985,24;     1.985,24;     1.320,47
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    21,000;        0,00;       357,67;       670,79;       670,79;       313,12
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;    66,000;        0,00;       562,62;     1.105,34;     1.105,34;       542,72
Classif:10.049;UTENSILIOS          ;     0,00;    87,000;        0,00;       920,29;     1.776,13;     1.776,13;       855,84
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;     3,000;        0,00;        47,49;        91,97;        91,97;        44,48
10.050.065;UTILIDADES/ELETRO DOMESTICO   ;     0,00;     5,000;        0,00;        79,14;       149,95;       149,95;        70,81
10.050.066;UTILIDADES/FILTROS            ;     0,00;     2,000;        0,00;        11,60;        21,98;        21,98;        10,38
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;     3,000;        0,00;        68,60;       136,97;       136,97;        68,37
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   125,000;        0,00;       664,36;     1.460,35;     1.460,35;       795,99
Classif:10.050;UTILIDADES          ;     0,00;   138,000;        0,00;       871,19;     1.861,22;     1.861,22;       990,03
10.051.   ;VARIEDADES                    ;     0,00;    11,000;        0,00;        41,97;        85,89;        85,89;        43,92
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;     7,000;        0,00;        53,43;       102,93;       102,93;        49,50
10.051.070;VARIEDADES/VIDROS             ;     0,00;    93,000;        0,00;       675,23;     1.323,07;     1.323,07;       647,84
Classif:10.051;VARIEDADES          ;     0,00;   111,000;        0,00;       770,63;     1.511,89;     1.511,89;       741,26
